âge,profession,état_civil,éducation,défaut,solde,prêt_logement,prêt_personnel,contact,jour,mois,durée,campagne,jours_précédents,précédent,résultat_précédent,souscription
51,ouvrier,marié,primaire,non,173,oui,non,inconnu,5,mai,529,2,-1,0,inconnu,non
56,administratif,marié,secondaire,non,45,non,non,inconnu,5,mai,1467,1,-1,0,inconnu,oui
41,technicien,marié,secondaire,non,1270,oui,non,inconnu,5,mai,1389,1,-1,0,inconnu,oui
46,cadre,divorcé,secondaire,non,16,oui,oui,inconnu,5,mai,188,2,-1,0,inconnu,non
57,retraité,marié,secondaire,non,486,oui,non,inconnu,5,mai,180,2,-1,0,inconnu,non
42,cadre,célibataire,secondaire,non,50,non,non,inconnu,5,mai,48,1,-1,0,inconnu,non
30,technicien,marié,secondaire,non,152,oui,oui,inconnu,5,mai,213,2,-1,0,inconnu,non
60,administratif,marié,secondaire,non,290,oui,non,inconnu,5,mai,583,1,-1,0,inconnu,non
60,ouvrier,marié,inconnu,non,54,oui,non,inconnu,5,mai,221,1,-1,0,inconnu,non
57,entrepreneur,divorcé,secondaire,non,-37,non,non,inconnu,5,mai,173,1,-1,0,inconnu,non
36,cadre,marié,supérieur,non,101,oui,oui,inconnu,5,mai,426,1,-1,0,inconnu,non
55,ouvrier,marié,secondaire,non,383,non,non,inconnu,5,mai,287,1,-1,0,inconnu,non
60,retraité,marié,supérieur,non,81,oui,non,inconnu,5,mai,101,1,-1,0,inconnu,non
39,technicien,marié,secondaire,non,0,oui,non,inconnu,5,mai,203,1,-1,0,inconnu,non
46,cadre,marié,supérieur,non,229,oui,non,inconnu,5,mai,197,1,-1,0,inconnu,non
44,ouvrier,marié,secondère,non,-674,oui,non,inconnu,5,mai,257,1,-1,0,inconnu,non
53,ouvrier,marié,primaire,non,90,non,non,inconnu,5,mai,124,1,-1,0,inconnu,non
52,ouvrier,marié,primaire,non,128,oui,non,inconnu,5,mai,229,1,-1,0,inconnu,non
59,ouvrier,marié,primaire,non,179,oui,non,inconnu,5,mai,55,3,-1,0,inconnu,non
27,technicien,célibataire,supérieur,non,0,oui,non,inconnu,5,mai,400,1,-1,0,inconnu,non
44,ouvrier,marié,secondaire,non,54,oui,non,inconnu,5,mai,197,1,-1,0,inconnu,non
47,technicien,marié,supérieur,non,151,oui,non,inconnu,5,mai,190,1,-1,0,inconnu,non
34,administratif,marié,secondaire,non,61,non,oui,inconnu,5,mai,21,1,-1,0,inconnu,non
59,retraité,célibataire,secondaire,non,30,oui,non,inconnu,5,mai,514,1,-1,0,inconnu,non
45,cadre,marié,supérieur,non,523,oui,non,inconnu,5,mai,849,2,-1,0,inconnu,non
29,services,divorcé,secondaire,non,31,oui,non,inconnu,5,mai,194,1,-1,0,inconnu,non
46,technicien,divorcé,secondaire,non,79,non,non,inconnu,5,mai,144,1,-1,0,inconnu,non
56,indépendant,marié,primaire,non,-34,oui,oui,inconnu,5,mai,212,2,-1,0,inconnu,non
36,ouvrier,marié,primaire,non,448,oui,non,inconnu,5,mai,286,1,-1,0,inconnu,non
59,retraité,divorcé,primaire,non,81,oui,non,inconnu,5,mai,107,1,-1,0,inconnu,non
44,ouvrier,marié,secondaire,non,144,oui,non,inconnu,5,mai,247,2,-1,0,inconnu,non
41,administratif,marié,secondaire,non,351,oui,non,inconnu,5,mai,518,1,-1,0,inconnu,non
33,cadre,célibataire,supérieur,non,-67,oui,non,inconnu,5,mai,364,1,-1,0,inconnu,non
59,cadre,divorcé,supérieur,non,262,non,non,inconnu,5,mai,178,1,-1,0,inconnu,non
57,technicien,marié,primaire,non,0,non,non,inconnu,5,mai,98,1,-1,0,inconnu,non
56,technicien,divorcé,inconnu,non,56,oui,non,inconnu,5,mai,439,1,-1,0,inconnu,non
51,ouvrier,marié,secondaire,non,26,oui,non,inconnu,5,mai,79,1,-1,0,inconnu,non
34,administratif,marié,inconnu,non,3,oui,non,inconnu,5,mai,120,3,-1,0,inconnu,non
43,services,marié,secondaire,non,41,oui,oui,inconnu,5,mai,127,2,-1,0,inconnu,non
52,technicien,marié,supérieur,non,7,non,oui,inconnu,5,mai,175,1,-1,0,inconnu,non
33,technicien,célibataire,secondaire,non,105,oui,non,inconnu,5,mai,262,2,-1,0,inconnu,non
29,administratif,célibataire,secondaire,non,818,oui,oui,inconnu,5,mai,61,1,-1,0,inconnu,non
34,services,marié,secondaire,non,-16,oui,oui,inconnu,5,mai,78,1,-1,0,inconnu,non
31,ouvrier,marié,secondaire,non,0,oui,non,inconnu,5,mai,143,1,-1,0,inconnu,non
55,services,marié,secondaire,non,2476,oui,non,inconnu,5,mai,579,1,-1,0,inconnu,oui
55,cadre,marié,inconnu,non,1185,non,non,inconnu,5,mai,677,1,-1,0,inconnu,non
32,administratif,célibataire,secondaire,non,217,oui,non,inconnu,5,mai,345,1,-1,0,inconnu,non
38,technicien,célibataire,secondaire,non,1685,oui,non,inconnu,5,mai,185,1,-1,0,inconnu,non
55,administratif,célibataire,secondaire,non,802,oui,oui,inconnu,5,mai,100,2,-1,0,inconnu,non
28,chômeur,célibataire,supérieur,non,0,oui,non,inconnu,5,mai,125,2,-1,0,inconnu,non
23,ouvrier,marié,secondaire,non,94,oui,non,inconnu,5,mai,193,1,-1,0,inconnu,non
32,technicien,célibataire,secondaire,non,0,oui,non,inconnu,5,mai,136,1,-1,0,inconnu,non
43,services,célibataire,inconnu,non,0,non,non,inconnu,5,mai,73,1,-1,0,inconnu,non
32,ouvrier,marié,secondaire,non,517,oui,non,inconnu,5,mai,528,1,-1,0,inconnu,non
46,ouvrier,marié,secondaire,non,265,oui,non,inconnu,5,mai,541,1,-1,0,inconnu,non
53,femme de ménage,divorcé,primaire,non,947,oui,non,inconnu,5,mai,163,1,-1,0,inconnu,non
34,indépendant,célibataire,secondaire,non,3,oui,non,inconnu,5,mai,301,1,-1,0,inconnu,non
57,chômeur,marié,supérieur,non,42,non,non,inconnu,5,mai,46,1,-1,0,inconnu,non
37,ouvrier,marié,secondaire,non,37,oui,non,inconnu,5,mai,204,1,-1,0,inconnu,non
59,ouvrier,marié,secondaire,non,57,oui,non,inconnu,5,mai,98,1,-1,0,inconnu,non
33,services,marié,secondaire,non,22,oui,non,inconnu,5,mai,71,1,-1,0,inconnu,non
56,ouvrier,divorcé,primaire,non,8,oui,non,inconnu,5,mai,157,2,-1,0,inconnu,non
48,chômeur,marié,secondaire,non,293,oui,non,inconnu,5,mai,243,1,-1,0,inconnu,non
43,services,marié,primaire,non,3,oui,non,inconnu,5,mai,186,2,-1,0,inconnu,non
54,ouvrier,marié,primaire,non,348,oui,non,inconnu,5,mai,579,2,-1,0,inconnu,non
51,ouvrier,marié,inconnu,non,-19,oui,non,inconnu,5,mai,163,2,-1,0,inconnu,non
26,étudiant,célibataire,secondaire,non,0,oui,non,inconnu,5,mai,610,2,-1,0,inconnu,non
40,cadre,marié,supérieur,non,-4,oui,non,inconnu,5,mai,2033,1,-1,0,inconnu,non
39,cadre,marié,secondaire,non,18,oui,non,inconnu,5,mai,85,1,-1,0,inconnu,non
50,technicien,marié,primaire,non,139,non,non,inconnu,5,mai,114,2,-1,0,inconnu,non
41,services,marié,secondaire,non,0,oui,non,inconnu,5,mai,114,2,-1,0,inconnu,non
51,ouvrier,marié,inconnu,non,1883,oui,non,inconnu,5,mai,57,1,-1,0,inconnu,non
60,retraité,divorcé,secondaire,non,216,oui,non,inconnu,5,mai,238,1,-1,0,inconnu,non
52,ouvrier,marié,secondaire,non,782,oui,non,inconnu,5,mai,93,3,-1,0,inconnu,non
48,ouvrier,marié,secondaire,non,904,oui,non,inconnu,5,mai,128,2,-1,0,inconnu,non
48,services,marié,inconnu,non,1705,oui,non,inconnu,5,mai,107,1,-1,0,inconnu,non
39,technicien,célibataire,supérieur,non,47,oui,non,inconnu,5,mai,181,1,-1,0,inconnu,non
47,services,célibataire,secondaire,non,176,oui,non,inconnu,5,mai,303,2,-1,0,inconnu,non
40,ouvrier,marié,secondaire,non,1225,oui,non,inconnu,5,mai,558,5,-1,0,inconnu,non
45,technicien,marié,secondaire,non,86,oui,non,inconnu,5,mai,270,1,-1,0,inconnu,non
26,administratif,célibataire,secondaire,non,82,oui,non,inconnu,5,mai,228,1,-1,0,inconnu,non
52,cadre,marié,supérieur,non,271,oui,non,inconnu,5,mai,99,1,-1,0,inconnu,non
54,technicien,marié,secondaire,non,1378,oui,non,inconnu,5,mai,240,1,-1,0,inconnu,non
54,administratif,marié,supérieur,non,184,non,non,inconnu,5,mai,673,2,-1,0,inconnu,oui
50,ouvrier,marié,primaire,non,0,non,non,inconnu,5,mai,233,3,-1,0,inconnu,non
35,ouvrier,marié,secondaire,non,0,oui,non,inconnu,5,mai,1056,1,-1,0,inconnu,non
44,services,marié,secondaire,non,1357,oui,oui,inconnu,5,mai,250,1,-1,0,inconnu,non
53,entrepreneur,marié,inconnu,non,19,oui,non,inconnu,5,mai,252,1,-1,0,inconnu,non
35,retraité,célibataire,primaire,non,434,non,non,inconnu,5,mai,138,1,-1,0,inconnu,non
60,administratif,divorcé,secondaire,non,92,oui,non,inconnu,5,mai,130,1,-1,0,inconnu,non
53,administratif,divorcé,secondaire,non,1151,oui,non,inconnu,5,mai,412,1,-1,0,inconnu,non
48,chômeur,marié,secondaire,non,41,oui,non,inconnu,5,mai,179,2,-1,0,inconnu,non
34,technicien,marié,secondaire,non,51,oui,non,inconnu,5,mai,19,2,-1,0,inconnu,non
54,services,marié,secondaire,non,214,oui,non,inconnu,5,mai,458,2,-1,0,inconnu,non
51,cadre,marié,secondaire,non,1161,oui,non,inconnu,5,mai,717,1,-1,0,inconnu,non
31,services,marié,supérieur,non,37,oui,non,inconnu,5,mai,313,1,-1,0,inconnu,non
35,technicien,divorcé,secondaire,non,787,oui,non,inconnu,5,mai,683,2,-1,0,inconnu,non
35,services,marié,secondaire,non,59,oui,non,inconnu,5,mai,1077,1,-1,0,inconnu,non
38,technicien,marié,secondaire,non,253,oui,non,inconnu,5,mai,416,1,-1,0,inconnu,non
36,administratif,marié,supérieur,non,211,oui,non,inconnu,5,mai,146,2,-1,0,inconnu,non
58,retraité,marié,primaire,non,235,oui,non,inconnu,5,mai,167,1,-1,0,inconnu,non
40,services,divorcé,inconnu,non,4384,oui,non,inconnu,5,mai,315,1,-1,0,inconnu,non
54,cadre,marié,secondaire,non,4080,non,non,inconnu,5,mai,140,1,-1,0,inconnu,non
34,ouvrier,célibataire,secondaire,non,53,oui,oui,inconnu,5,mai,346,1,-1,0,inconnu,non
31,cadre,célibataire,supérieur,non,0,oui,non,inconnu,5,mai,562,1,-1,0,inconnu,non
51,retraité,marié,secondaire,non,2127,oui,non,inconnu,5,mai,172,1,-1,0,inconnu,non
33,cadre,marié,supérieur,non,377,oui,non,inconnu,5,mai,217,1,-1,0,inconnu,non
55,cadre,marié,supérieur,non,73,oui,non,inconnu,5,mai,142,2,-1,0,inconnu,non
42,administratif,marié,secondaire,non,445,oui,non,inconnu,5,mai,67,1,-1,0,inconnu,non
34,ouvrier,marié,secondaire,non,243,oui,non,inconnu,5,mai,291,1,-1,0,inconnu,non
33,ouvrier,célibataire,secondaire,non,307,oui,non,inconnu,5,mai,309,2,-1,0,inconnu,non
38,services,marié,secondaire,non,155,oui,non,inconnu,5,mai,248,1,-1,0,inconnu,non
50,technicien,divorcé,supérieur,non,173,non,oui,inconnu,5,mai,98,1,-1,0,inconnu,non
43,cadre,marié,supérieur,non,400,oui,non,inconnu,5,mai,256,1,-1,0,inconnu,non
61,ouvrier,divorcé,primaire,non,1428,oui,non,inconnu,5,mai,82,2,-1,0,inconnu,non
47,administratif,marié,secondaire,non,219,oui,non,inconnu,5,mai,577,1,-1,0,inconnu,non
48,indépendant,marié,supérieur,non,7,oui,non,inconnu,5,mai,286,1,-1,0,inconnu,non
44,ouvrier,marié,secondaire,non,575,oui,non,inconnu,5,mai,477,1,-1,0,inconnu,non
35,étudiant,célibataire,inconnu,non,298,oui,non,inconnu,5,mai,611,2,-1,0,inconnu,non
35,services,marié,secondaire,non,0,oui,non,inconnu,5,mai,471,1,-1,0,inconnu,non
50,services,marié,secondaire,non,5699,oui,non,inconnu,5,mai,381,2,-1,0,inconnu,non
41,cadre,marié,supérieur,non,176,oui,oui,inconnu,5,mai,42,1,-1,0,inconnu,non
41,cadre,marié,supérieur,non,517,oui,non,inconnu,5,mai,251,1,-1,0,inconnu,non
39,services,célibataire,inconnu,non,257,oui,non,inconnu,5,mai,408,1,-1,0,inconnu,non
42,retraité,marié,secondaire,non,56,oui,non,inconnu,5,mai,215,1,-1,0,inconnu,non
38,ouvrier,marié,secondaire,non,-390,oui,non,inconnu,5,mai,287,1,-1,0,inconnu,non
53,retraité,marié,secondaire,non,330,oui,non,inconnu,5,mai,216,2,-1,0,inconnu,non
59,femme de ménage,divorcé,primaire,non,195,non,non,inconnu,5,mai,366,2,-1,0,inconnu,non
36,services,marié,secondaire,non,301,oui,non,inconnu,5,mai,210,1,-1,0,inconnu,non
54,ouvrier,marié,primaire,non,-41,oui,non,inconnu,5,mai,288,1,-1,0,inconnu,non
40,technicien,marié,supérieur,non,483,oui,non,inconnu,5,mai,168,1,-1,0,inconnu,non
47,inconnu,marié,inconnu,non,28,non,non,inconnu,5,mai,338,2,-1,0,inconnu,non
53,chômeur,marié,inconnu,non,13,non,non,inconnu,5,mai,410,3,-1,0,inconnu,non
46,femme de ménage,marié,primaire,non,965,non,non,inconnu,5,mai,177,1,-1,0,inconnu,non
39,cadre,marié,supérieur,non,378,oui,oui,inconnu,5,mai,127,2,-1,0,inconnu,non
40,chômeur,marié,secondaire,non,219,oui,non,inconnu,5,mai,357,1,-1,0,inconnu,non
28,ouvrier,marié,primaire,non,324,oui,non,inconnu,5,mai,175,1,-1,0,inconnu,non
35,entrepreneur,divorcé,secondaire,non,-69,oui,non,inconnu,5,mai,300,1,-1,0,inconnu,non
55,retraité,marié,secondaire,non,0,non,oui,inconnu,5,mai,136,1,-1,0,inconnu,non
43,technicien,divorcé,inconnu,non,205,oui,non,inconnu,5,mai,1419,1,-1,0,inconnu,non
48,ouvrier,marié,primaire,non,278,oui,non,inconnu,5,mai,125,2,-1,0,inconnu,non
58,cadre,marié,inconnu,non,1065,oui,non,inconnu,5,mai,213,3,-1,0,inconnu,non
33,cadre,célibataire,supérieur,non,34,oui,non,inconnu,5,mai,27,1,-1,0,inconnu,non
36,ouvrier,marié,inconnu,non,1033,non,non,inconnu,5,mai,238,2,-1,0,inconnu,non
53,services,divorcé,secondaire,non,1467,oui,non,inconnu,5,mai,124,1,-1,0,inconnu,non
47,ouvrier,marié,primaire,non,-12,oui,non,inconnu,5,mai,18,1,-1,0,inconnu,non
31,services,marié,secondaire,non,388,oui,non,inconnu,5,mai,730,2,-1,0,inconnu,non
57,entrepreneur,marié,secondaire,non,294,oui,non,inconnu,5,mai,746,2,-1,0,inconnu,non
53,ouvrier,marié,inconnu,non,1827,non,non,inconnu,5,mai,121,1,-1,0,inconnu,non
55,ouvrier,marié,primaire,non,627,oui,non,inconnu,5,mai,247,1,-1,0,inconnu,non
45,ouvrier,marié,primaire,non,25,oui,non,inconnu,5,mai,40,1,-1,0,inconnu,non
53,administratif,divorcé,secondaire,non,315,oui,non,inconnu,5,mai,181,2,-1,0,inconnu,non
37,ouvrier,marié,primaire,non,0,oui,non,inconnu,5,mai,79,1,-1,0,inconnu,non
44,administratif,divorcé,secondaire,non,66,oui,non,inconnu,5,mai,206,1,-1,0,inconnu,non
49,ouvrier,divorcé,primaire,non,-9,oui,oui,inconnu,5,mai,389,1,-1,0,inconnu,non
46,technicien,marié,secondaire,non,349,oui,oui,inconnu,5,mai,127,1,-1,0,inconnu,non
43,entrepreneur,marié,inconnu,non,100,oui,non,inconnu,5,mai,702,1,-1,0,inconnu,non
38,administratif,marié,secondaire,non,0,non,non,inconnu,5,mai,151,1,-1,0,inconnu,non
43,technicien,marié,secondaire,non,434,oui,non,inconnu,5,mai,117,1,-1,0,inconnu,non
49,cadre,marié,supérieur,non,3237,oui,non,inconnu,5,mai,232,3,-1,0,inconnu,non
42,cadre,marié,inconnu,non,275,non,non,inconnu,5,mai,408,2,-1,0,inconnu,non
22,ouvrier,célibataire,secondaire,non,0,oui,non,inconnu,5,mai,179,2,-1,0,inconnu,non
40,cadre,marié,supérieur,non,207,oui,non,inconnu,5,mai,39,1,-1,0,inconnu,non
39,ouvrier,marié,secondaire,non,483,oui,non,inconnu,5,mai,282,1,-1,0,inconnu,non
51,services,marié,secondaire,non,2248,oui,non,inconnu,5,mai,714,2,-1,0,inconnu,non
49,administratif,marié,secondaire,non,428,oui,non,inconnu,5,mai,50,1,-1,0,inconnu,non
53,ouvrier,marié,secondaire,non,0,oui,oui,inconnu,5,mai,181,1,-1,0,inconnu,non
34,services,célibataire,secondaire,non,0,oui,non,inconnu,5,mai,142,1,-1,0,inconnu,non
33,technicien,divorcé,secondaire,non,140,oui,non,inconnu,5,mai,227,1,-1,0,inconnu,non
-50,cadre,célibataire,supérieur,non,297,oui,non,inconnu,5,mai,119,1,-1,0,inconnu,non
39,ouvrier,marié,primaire,non,279,oui,non,inconnu,5,mai,361,1,-1,0,inconnu,non
59,entrepreneur,divorcé,secondaire,non,901,oui,non,inconnu,5,mai,73,3,-1,0,inconnu,non
30,technicien,célibataire,secondaire,non,2573,oui,non,inconnu,5,mai,67,2,-1,0,inconnu,non
36,services,marié,secondaire,non,143,oui,oui,inconnu,5,mai,350,1,-1,0,inconnu,non
40,ouvrier,marié,secondaire,non,475,oui,non,inconnu,5,mai,332,2,-1,0,inconnu,non
53,ouvrier,marié,secondaire,non,70,oui,non,inconnu,5,mai,611,2,-1,0,inconnu,non
34,cadre,célibataire,supérieur,non,318,oui,non,inconnu,5,mai,113,2,-1,0,inconnu,non
37,technicien,marié,secondaire,non,275,oui,non,inconnu,5,mai,132,1,-1,0,inconnu,non
42,cadre,divorcé,supérieur,non,742,oui,non,inconnu,5,mai,58,3,-1,0,inconnu,non
41,entrepreneur,marié,primaire,non,236,oui,non,inconnu,5,mai,151,1,-1,0,inconnu,non
30,étudiant,célibataire,supérieur,non,25,oui,non,inconnu,5,mai,89,2,-1,0,inconnu,non
37,cadre,célibataire,supérieur,non,600,oui,non,inconnu,5,mai,152,1,-1,0,inconnu,non
39,administratif,divorcé,secondaire,non,-349,oui,non,inconnu,5,mai,611,2,-1,0,inconnu,non
41,ouvrier,marié,primaire,non,183,oui,oui,inconnu,5,mai,110,2,-1,0,inconnu,non
40,ouvrier,marié,primaire,non,0,oui,non,inconnu,5,mai,463,1,-1,0,inconnu,non
42,cadre,célibataire,supérieur,non,0,oui,oui,inconnu,5,mai,562,2,-1,0,inconnu,oui
40,ouvrier,divorcé,primaire,non,0,oui,non,inconnu,5,mai,962,1,-1,0,inconnu,non
57,technicien,marié,secondaire,non,1078,oui,non,inconnu,5,mai,10,4,-1,0,inconnu,non
56,entrepreneur,divorcé,secondaire,non,155,non,non,inconnu,5,mai,118,3,-1,0,inconnu,non
37,administratif,marié,secondaire,non,190,oui,non,inconnu,5,mai,92,2,-1,0,inconnu,non
